,Date,Shape,Location,State,Country,Lat,Lng,Closest Airport,Closest Airport Address,Closest Military Base,Closest Military Base Address
2281,2016-06-30,Lights Only ,Woodland Hills ,CA ,USA ,34.165357,-118.6089752,fetch fido a flight,"5959 California 27 UNIT 285, Woodland Hills",US Army Department,"3800 Valhalla Dr, Burbank"
2282,2016-06-30,Lights Only ,Santa Clarita ,CA ,USA ,34.3916641,-118.542586,Hollywood Burbank Airport,"2627 North Hollywood Way, Burbank",American Military Museum,"1918 Rosemead Blvd, South El Monte"
2283,2016-06-30,Diamond ,Bradenton ,FL ,USA ,27.4989278,-82.5748194,Sarasota Bradenton International Airport,"6000 Airport Circle, Sarasota",US Army Department,"5100 W Kennedy Blvd, Tampa"
2284,2016-06-30,Circle ,Pacifica ,CA ,USA ,37.6138253,-122.4869194,San Francisco International Airport,San Francisco,US Defense Department,"1265 Borregas Ave, Sunnyvale"
2285,2016-06-30,Circle ,Kihei ,HI ,USA ,20.7644275,-156.4450063,Kahului Airport,"1 Keolani Place, Kahului",US Army Reserve center,"1686 W Kaahumanu Ave, Wailuku"
2286,2016-06-30,Fireball ,Placerville ,CA ,USA ,38.7296252,-120.798546,Mather Airport,"10425 Norden Avenue, Mather",Action Military Surplus,"5800 Auburn Blvd A, Sacramento"
2287,2016-06-30,Cigar/Cylinder ,Belleville ,NY ,USA ,43.7834783,-76.11951359999999,Watertown International Airport,"22529 Airport Drive, Dexter",US Army Engineer,"10630 S Riva Ridge Loop, Watertown"
2288,2016-06-30,Unknown ,Rancho Cucamonga ,CA ,USA ,34.10639889999999,-117.5931084,,,US Army Department,Los Alamitos
2289,2016-06-30,Cigar/Cylinder ,Shavertown ,PA ,USA ,41.31994830000001,-75.9380482,Wilkes-Barre Scranton International Airport,"100 Terminal Road, Avoca",US Army Reserve Center,"140 Stewart Rd, Wilkes-Barre"
2290,2016-06-30,Circle ,Pacifica ,CA ,USA ,37.6138253,-122.4869194,San Francisco International Airport,San Francisco,US Defense Department,"1265 Borregas Ave, Sunnyvale"
2291,2016-07-01,Unknown ,Escondido ,CA ,USA ,33.1192068,-117.086421,Aeropuerto de San Diego California,"1051 North Escondido Boulevard, Escondido",Military Sealift Command Exchanges,"9284 Balboa Ave, San Diego"
2292,2016-07-01,Orb/Sphere ,Sheboygan ,WI ,USA ,43.7508284,-87.71453,Sheboygan County Memorial Airport,"N6187 Resource Dr, Sheboygan Falls",U. S. Army Reserve,"2891 Erie Ave, Sheboygan"
2293,2016-07-01,Unknown ,White Center ,WA ,USA ,47.5085671,-122.3551164,Seattle-Tacoma International Airport,"17801 International Boulevard, Seattle",Washington Army National Guard (Kent Armory),"24410 Military Rd S, Kent"
2294,2016-07-01,Diamond ,Lodi ,CA ,USA ,38.1341477,-121.2722194,Stockton Metropolitan Airport,"5000 South Airport Way, Stockton",270th Military Police Company,"8410 Okinawa St, Sacramento"
